Query-mutant-straina;Query- strain-bnumberb;Recipient-mutant-strain;bnumber-of-recipient-mutant-strain;Strain-Versionsc;Essentiality;Functional-Association;S;Z;LOG(Q/R)
yhdZ;b3271;aroE;b3281;Isolate 2;non-essential;No functional association with STRING;-7.798;-10.691;-9.4648
yhdZ;b3271;yrdD;b3283;Isolate 1;non-essential;No functional association with STRING;-14.793;-18.185;-10.3397
yhdZ;b3271;yrdD;b3283;Isolate 2;non-essential;No functional association with STRING;-9.070;-12.459;-9.4648
yhdZ;b3271;mscL;b3291;Isolate 2;non-essential;No functional association with STRING;-6.979;-9.552;-3.1569
yhdZ;b3271;gspI;b3330;Isolate 2;non-essential;No functional association with STRING;-4.604;-6.252;-2.3621
yhdZ;b3271;gspO;b3335;Isolate 2;non-essential;No functional association with STRING;-3.380;-4.550;-2.1370
yhdZ;b3271;bfr;b3336;Isolate 1;non-essential;No functional association with STRING;-11.408;-13.983;-4.0922
yhdZ;b3271;bfr;b3336;Isolate 2;non-essential;No functional association with STRING;-3.154;-4.236;-2.6844
yhdZ;b3271;yheO;b3346;Isolate 1;non-essential;No functional association with STRING;-6.298;-7.640;-4.7474
yhdZ;b3271;pabA;b3360;Isolate 1;non-essential;No functional association with STRING;-8.589;-10.484;-3.4210
yhdZ;b3271;hemX;b3803;Isolate 1;non-essential;No functional association with STRING;-4.799;-5.780;-3.6262
yhdZ;b3271;glnG;b3868;Isolate 1;non-essential;No functional association with STRING;-7.668;-9.341;-8.0408
yhdZ;b3271;fdhD;b3895;Isolate 2;non-essential;No functional association with STRING;-7.908;-10.843;-3.2112
yhdZ;b3271;yiiS;b3922;Isolate 2;non-essential;No functional association with STRING;-5.213;-7.098;-9.1695
yhdZ;b3271;araH;b4460;Isolate 2;non-essential;No functional association with STRING;-4.013;-5.431;-2.3077
yhdZ;b3271;smf;b4473;Isolate 2;non-essential;No functional association with STRING;-13.601;-18.754;-9.4648
greB;b3406;ybeY;b0659;Isolate 2;non-essential;No functional association with STRING;-1.648;-4.334;-3.7699
greB;b3406;cysB;b1275;Isolate 1;non-essential;No functional association with STRING;-2.833;-5.532;-4.0180
greB;b3406;yfjO;b2631;Isolate 2;non-essential;No functional association with STRING;-1.777;-4.682;-1.3431
greB;b3406;cysH;b2762;Isolate 1;non-essential;No functional association with STRING;-5.857;-11.549;-3.9852
greB;b3406;cysH;b2762;Isolate 2;non-essential;No functional association with STRING;-5.532;-14.801;-4.9957
greB;b3406;gntR;b3438;Isolate 2;non-essential;No functional association with STRING;-1.861;-4.909;-1.5110
greB;b3406;cysE;b3607;Isolate 1;non-essential;No functional association with STRING;-4.654;-9.155;-4.8017
greB;b3406;yieP;b3755;Isolate 2;non-essential;No functional association with STRING;-2.308;-6.112;-1.3579
greB;b3406;glnG;b3868;Isolate 1;non-essential;No functional association with STRING;-2.624;-5.116;-1.5645
greB;b3406;rpsF;b4200;Isolate 2;non-essential;No functional association with STRING;-1.860;-4.906;-3.1805
yieG;b3714;betI;b0313;Isolate 1;non-essential;No functional association with STRING;-1.917;-4.623;-1.0906
yieG;b3714;mhpB;b0348;Isolate 2;non-essential;No functional association with STRING;-3.084;-9.968;-9.3435
yieG;b3714;appB;b0979;Isolate 2;non-essential;No functional association with STRING;-1.414;-4.508;-1.0689
yieG;b3714;dhaK;b1200;Isolate 2;non-essential;No functional association with STRING;-1.623;-5.192;-0.8026
yieG;b3714;gatZ;b2095;Isolate 2;non-essential;No functional association with STRING;-1.477;-4.713;-1.0299
yieG;b3714;napB;b2203;Isolate 2;non-essential;No functional association with STRING;-1.462;-4.666;-1.2745
yieG;b3714;napD;b2207;Isolate 2;non-essential;No functional association with STRING;-1.727;-5.531;-1.4395
yieG;b3714;yfeN;b2408;Isolate 2;non-essential;No functional association with STRING;-1.805;-5.787;-1.3405
yieG;b3714;hybF;b2991;Isolate 2;non-essential;No functional association with STRING;-1.716;-5.496;-0.9961
yieG;b3714;agaI;b3141;Isolate 2;non-essential;No functional association with STRING;-2.311;-7.440;-1.8095
yieG;b3714;aaeX;b3242;Isolate 2;non-essential;No functional association with STRING;-1.534;-4.901;-1.5769
yieG;b3714;yrhA;b3443;Isolate 2;non-essential;No functional association with STRING;-2.023;-6.501;-0.4340
yieG;b3714;yhjK;b3529;Isolate 2;non-essential;No functional association with STRING;-1.286;-4.091;-0.1733
yieG;b3714;rpoZ;b3649;Isolate 2;non-essential;No functional association with STRING;-1.453;-4.636;-0.9086
yieG;b3714;yicL;b3660;Isolate 1;non-essential;No functional association with STRING;-1.812;-4.367;-1.0482
yieG;b3714;uhpB;b3668;Isolate 1;non-essential;No functional association with STRING;-3.777;-9.141;-8.7143
yieG;b3714;uhpB;b3668;Isolate 2;non-essential;No functional association with STRING;-2.434;-7.844;-8.4008
yieG;b3714;gldA;b3945;Isolate 2;non-essential;No functional association with STRING;-1.638;-5.240;-0.9541
yiiL;b3901;mog;b0009;Isolate 2;non-essential;No functional association with STRING;-3.322;-7.285;-1.6248
yiiL;b3901;ybbN;b0492;Isolate 2;non-essential;No functional association with STRING;-1.940;-4.229;-0.2414
yiiL;b3901;sucA;b0726;Isolate 2;non-essential;No functional association with STRING;-2.347;-5.127;-1.5754
yiiL;b3901;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-29.821;-12.5145
yiiL;b3901;macB;b0879;Isolate 1;non-essential;No functional association with STRING;-2.521;-4.397;-1.8156
yiiL;b3901;cydD;b0887;Isolate 2;non-essential;No functional association with STRING;-4.581;-10.070;-1.3885
yiiL;b3901;fabH;b1091;Isolate 1;non-essential;No functional association with STRING;-2.739;-4.786;-1.9825
yiiL;b3901;pepT;b1127;Isolate 1;non-essential;No functional association with STRING;-4.289;-7.545;-9.5291
yiiL;b3901;yciM;b1280;Isolate 2;non-essential;No functional association with STRING;-2.876;-6.297;-2.9418
yiiL;b3901;yneI;b1525;Isolate 1;non-essential;No functional association with STRING;-3.048;-5.335;-8.8621
yiiL;b3901;flxA;b1566;Isolate 2;non-essential;No functional association with STRING;-2.062;-4.498;-0.9555
yiiL;b3901;yegQ;b2081;Isolate 2;non-essential;No functional association with STRING;-1.837;-4.001;-1.4838
yiiL;b3901;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-12.898;-10.0532
yiiL;b3901;nuoK;b2279;Isolate 1;non-essential;No functional association with STRING;-4.206;-7.397;-1.6973
yiiL;b3901;nuoK;b2279;Isolate 2;non-essential;No functional association with STRING;-1.888;-4.113;-1.3537
yiiL;b3901;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-9.661;-17.106;-8.5474
yiiL;b3901;rseA;b2572;Isolate 2;non-essential;No functional association with STRING;-4.308;-9.464;-2.6808
yiiL;b3901;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-12.913;-22.893;-10.0532
yiiL;b3901;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-16.871;-12.5145
yiiL;b3901;gspG;b3328;Isolate 2;non-essential;No functional association with STRING;-2.241;-4.893;-12.5145
yiiL;b3901;crp;b3357;Isolate 2;non-essential;No functional association with STRING;-1.897;-4.132;-5.8599
yiiL;b3901;yrhA;b3443;Isolate 2;non-essential;No functional association with STRING;-2.075;-4.525;-0.4353
yiiL;b3901;yhjK;b3529;Isolate 2;non-essential;No functional association with STRING;-2.186;-4.772;-0.3616
yiiL;b3901;yibA;b3594;Isolate 1;non-essential;No functional association with STRING;-3.182;-5.574;-9.0925
yiiL;b3901;uhpB;b3668;Isolate 2;non-essential;No functional association with STRING;-2.119;-4.623;-1.1408
yiiL;b3901;ivbL;b3672;Isolate 2;non-essential;No functional association with STRING;-2.098;-4.576;-0.4893
yiiL;b3901;yidK;b3679;Isolate 2;non-essential;No functional association with STRING;-1.867;-4.067;-1.0737
yiiL;b3901;rplA;b3984;Isolate 1;non-essential;No functional association with STRING;-3.004;-5.258;-2.6574
ytfR;b4485;proA;b0243;Isolate 2;non-essential;No functional association with STRING;-2.381;-4.413;-1.5804
ytfR;b4485;mmuM;b0261;Isolate 1;non-essential;No functional association with STRING;-2.920;-5.272;-1.3156
ytfR;b4485;proC;b0386;Isolate 2;non-essential;No functional association with STRING;-2.625;-4.878;-1.7139
ytfR;b4485;phoR;b0400;Isolate 2;non-essential;No functional association with STRING;-2.668;-4.960;-1.8261
ytfR;b4485;acrB;b0462;Isolate 1;non-essential;No functional association with STRING;-7.318;-13.249;-12.0482
ytfR;b4485;ybaT;b0486;Isolate 1;non-essential;No functional association with STRING;-2.261;-4.077;-1.6084
ytfR;b4485;ybdK;b0581;Isolate 2;non-essential;No functional association with STRING;-2.602;-4.835;-0.9447
ytfR;b4485;bioD;b0778;Isolate 2;non-essential;No functional association with STRING;-8.257;-15.606;-4.2577
ytfR;b4485;ompF;b0929;Isolate 2;non-essential;No functional association with STRING;-2.449;-4.543;-1.2605
ytfR;b4485;ompA;b0957;Isolate 1;non-essential;No functional association with STRING;-4.267;-7.715;-2.6638
ytfR;b4485;ompA;b0957;Isolate 2;non-essential;No functional association with STRING;-6.469;-12.200;-4.8106
ytfR;b4485;fhuE;b1102;Isolate 2;non-essential;No functional association with STRING;-4.725;-8.880;-3.3273
ytfR;b4485;ymfT;b1146;Isolate 2;non-essential;No functional association with STRING;-2.871;-5.347;-2.2367
ytfR;b4485;treA;b1197;Isolate 2;non-essential;No functional association with STRING;-2.445;-4.536;-1.9071
ytfR;b4485;cysB;b1275;Isolate 1;non-essential;No functional association with STRING;-3.909;-7.066;-5.8542
ytfR;b4485;puuE;b1302;Isolate 2;non-essential;No functional association with STRING;-2.585;-4.802;-1.2905
ytfR;b4485;paaA;b1388;Isolate 2;non-essential;No functional association with STRING;-2.381;-4.413;-1.3185
ytfR;b4485;paaF;b1393;Isolate 1;non-essential;No functional association with STRING;-2.241;-4.039;-1.2960
ytfR;b4485;paaF;b1393;Isolate 2;non-essential;No functional association with STRING;-2.982;-5.559;-1.7175
ytfR;b4485;rnt;b1652;Isolate 1;non-essential;No functional association with STRING;-3.182;-5.747;-2.9848
ytfR;b4485;aroD;b1693;Isolate 1;non-essential;No functional association with STRING;-3.877;-7.007;-2.9369
ytfR;b4485;cobS;b1992;Isolate 1;non-essential;No functional association with STRING;-3.097;-5.593;-1.8089
ytfR;b4485;menC;b2261;Isolate 2;non-essential;No functional association with STRING;-2.291;-4.243;-1.5834
ytfR;b4485;nuoI;b2281;Isolate 1;non-essential;No functional association with STRING;-4.446;-8.039;-3.6932
ytfR;b4485;ubiX;b2311;Isolate 1;non-essential;No functional association with STRING;-2.502;-4.514;-6.5345
ytfR;b4485;ubiX;b2311;Isolate 2;non-essential;No functional association with STRING;-2.719;-5.057;-7.9683
ytfR;b4485;pdxB;b2320;Isolate 2;non-essential;No functional association with STRING;-2.971;-5.537;-1.8319
ytfR;b4485;glcB;b2976;Isolate 1;non-essential;No functional association with STRING;-5.666;-10.252;-2.5511
ytfR;b4485;fis;b3261;Isolate 1;non-essential;No functional association with STRING;-2.440;-4.401;-1.1886
ytfR;b4485;glnG;b3868;Isolate 1;non-essential;No functional association with STRING;-7.696;-13.934;-12.0482
ytfR;b4485;holC;b4259;Isolate 1;non-essential;No functional association with STRING;-2.226;-4.013;-1.9614
ytfR;b4485;pepA;b4260;Isolate 1;non-essential;No functional association with STRING;-2.259;-4.073;-1.6277
ytfR;b4485;yjhB;b4279;Isolate 2;non-essential;No functional association with STRING;-2.992;-5.578;-1.6588
ytfR;b4485;yjhC;b4280;Isolate 2;non-essential;No functional association with STRING;-2.209;-4.086;-1.3833
ytfR;b4485;yjhU;b4295;Isolate 2;non-essential;No functional association with STRING;-2.215;-4.096;-1.1196
ytfR;b4485;yjiE;b4327;Isolate 2;non-essential;No functional association with STRING;-2.565;-4.764;-1.5974
ytfR;b4485;iadA;b4328;Isolate 1;non-essential;No functional association with STRING;-2.239;-4.037;-1.5007
ytfR;b4485;mdoB;b4359;Isolate 2;non-essential;No functional association with STRING;-2.274;-4.210;-1.4582
ytfR;b4485;prfC;b4375;Isolate 1;non-essential;No functional association with STRING;-3.915;-7.076;-2.3600
ytfR;b4485;yjjZ;b4567;Isolate 2;non-essential;No functional association with STRING;-2.829;-5.267;-1.7177
yacL;b0119;plsC;b3018;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.406;4.167;0.5709
yacL;b0119;coaD;b3634;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.376;4.079;0.0466
yacL;b0119;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.951;8.720;0.0819
yacL;b0119;yidC;b3705;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.594;4.722;0.2913
yacL;b0119;murB;b3972;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.404;4.163;0.2210
yacL;b0119;rpoC;b3988;SPA-tag essential;SPA-tag essential;Functional association with STRING;1.532;4.541;0.0956
yadE;b0130;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.123;9.722;0.1583
yadE;b0130;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.424;7.542;0.1853
yadE;b0130;pgk;b2926;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.502;4.668;0.5354
yadE;b0130;metK;b2942;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.713;5.324;0.6571
yadE;b0130;cca;b3056;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.864;5.795;0.3730
yadE;b0130;dut;b3640;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.817;5.648;0.2349
yadE;b0130;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;6.129;19.097;0.1680
yadE;b0130;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.668;5.184;0.2351
yafP;b0234;cca;b3056;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.731;4.593;0.3318
yafP;b0234;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.522;4.037;0.1984
ykgE;b0306;acpP;b1094;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.290;5.545;0.6521
ykgE;b0306;ftsE;b3463;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.706;4.146;0.0484
ykgE;b0306;coaD;b3634;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.099;5.087;0.2154
ykgE;b0306;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;6.115;14.712;0.1627
ycjN;b1310;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.913;4.100;0.4702
ycjR;b1314;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.289;4.610;0.5973
hscB;b2527;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.092;4.539;0.2091
hscB;b2527;fabD;b1092;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.971;4.366;0.4769
iscA;b2528;fabD;b1092;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.705;4.306;0.4165
iscU;b2529;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;5.276;6.374;0.0881
recD;b2819;dnaX;b0470;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.108;4.005;0.4915
recD;b2819;gapA;b1779;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.014;5.671;0.5883
yrbA;b3190;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.517;4.448;0.3107
rpoN;b3202;gapA;b1779;SPA-tag essential;SPA-tag essential;Functional association with STRING;3.037;4.984;0.5663
yhcG;b3220;ftsA;b0094;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.792;4.156;0.4146
yhcG;b3220;gapA;b1779;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.918;4.439;0.4613
mdh;b3236;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.194;5.885;0.5876
yhdZ;b3271;gapA;b1779;SPA-tag essential;SPA-tag essential;No functional association with STRING;4.103;5.270;0.7448
yieG;b3714;dxs;b0420;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.640;4.017;0.2120
yieG;b3714;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.634;4.003;0.2183
yieG;b3714;gltX;b2400;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.804;4.418;0.3865
ytfR;b4485;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.204;4.022;0.3254
ytfR;b4485;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.231;5.884;0.1834
ytfR;b4485;fabI;b1288;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.907;5.297;0.0702
ytfR;b4485;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.280;5.973;0.2220
ytfR;b4485;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.732;6.793;0.0518
ytfR;b4485;coaD;b3634;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.430;4.432;0.3042
ytfR;b4485;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.983;5.434;0.0755
ytfR;b4485;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.642;4.816;0.2095
ytfR;b4485;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;6.110;11.106;0.1599
yacL;b0119;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.485;4.399;-0.3245
yacL;b0119;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.347;6.940;-0.2966
yacL;b0119;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.767;5.231;-0.0261
yacL;b0119;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;5.343;15.767;-0.0688
yadE;b0130;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.774;8.634;-0.6960
yadE;b0130;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.327;4.121;-0.9640
yadE;b0130;trmD;b2607;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.470;4.569;-0.1148
yadE;b0130;eno;b2779;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.908;5.932;-1.0819
yadE;b0130;trpS;b3384;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.849;5.748;-0.9515
yadE;b0130;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.555;7.951;-0.0772
yadE;b0130;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.403;4.358;-0.5253
yafP;b0234;mukF;b0922;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.209;5.862;-1.5270
yafP;b0234;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.456;6.520;-0.0178
yafP;b0234;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.631;4.328;-0.8227
yafP;b0234;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.998;5.302;-0.0846
yafP;b0234;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.013;5.342;-0.4110
yafP;b0234;trpS;b3384;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.520;4.032;-1.1294
yafP;b0234;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.205;5.852;-0.2107
yafP;b0234;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;5.339;14.187;-0.1003
ykgE;b0306;mukF;b0922;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.648;6.403;-1.1040
ykgE;b0306;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.756;6.661;-0.0941
ykgE;b0306;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.938;4.702;-0.4163
ykgE;b0306;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.534;6.129;-0.0850
hscB;b2527;mukF;b0922;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.291;4.823;-0.1208
hscB;b2527;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.730;4.023;-0.0553
iscU;b2529;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;6.494;7.835;-0.4423
iscU;b2529;mukF;b0922;SPA-tag essential;SPA-tag essential;No functional association with STRING;5.951;7.184;-0.1766
iscU;b2529;mukB;b0924;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.251;-5.060;0.0833
iscU;b2529;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;4.916;5.941;-0.1213
iscU;b2529;fabI;b1288;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.612;4.377;-0.1104
iscU;b2529;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;6.248;7.540;-0.0465
iscU;b2529;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;4.723;5.710;-0.0699
iscU;b2529;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;6.008;7.252;-0.3336
rpoS;b2741;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;4.067;5.595;-0.3233
ygcB;b2761;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;5.359;6.800;-0.0192
greA;b3181;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.986;6.206;-0.4001
yrbA;b3190;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.730;4.710;-0.5252
mdh;b3236;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.283;6.047;-0.4624
mdh;b3236;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.289;6.058;-0.0493
mdh;b3236;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.214;4.090;-0.2452
greB;b3406;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.205;6.485;-0.6828
yieG;b3714;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.151;5.259;-0.0600
yieG;b3714;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.709;4.186;-0.2102
yieG;b3714;pheS;b1714;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.963;-4.735;0.0499
yieG;b3714;trmD;b2607;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.639;4.015;-0.0102
yieG;b3714;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;1.885;4.612;-0.4128
yieG;b3714;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;5.031;12.256;-0.1637
ytfR;b4485;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;3.331;6.066;-0.4881
ytfR;b4485;mukF;b0922;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.750;5.012;-0.9936
ytfR;b4485;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.636;4.805;-0.1877
ytfR;b4485;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;2.331;4.253;-0.2256
yacL;b0119;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.190;-6.424;-0.4711
yacL;b0119;mreB;b3251;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.334;-6.848;-0.5866
yadE;b0130;ftsA;b0094;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.474;-4.615;-0.2345
yadE;b0130;ispU;b0174;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.761;-5.510;-0.4867
yadE;b0130;fabZ;b0180;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.495;-7.798;-0.8801
yadE;b0130;lpxB;b0182;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.151;-6.726;-0.7429
yadE;b0130;dxs;b0420;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.316;-13.479;-1.2119
yadE;b0130;holA;b0640;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.923;-9.132;-0.6021
yadE;b0130;glnS;b0680;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.296;-4.060;-0.2632
yadE;b0130;cydA;b0733;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.792;-5.606;-0.1848
yadE;b0130;cydC;b0886;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.359;-4.256;-0.2033
yadE;b0130;mukF;b0922;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.635;-5.116;-5.8416
yadE;b0130;prfA;b1211;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.498;-4.690;-0.5536
yadE;b0130;topA;b1274;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.320;-4.135;-0.1672
yadE;b0130;gyrA;b2231;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.880;-5.881;-0.5479
yafP;b0234;ribD;b0414;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.830;-4.874;-0.5049
yafP;b0234;dxs;b0420;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.683;-4.484;-0.5302
yafP;b0234;infA;b0884;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.528;-4.074;-0.2550
yafP;b0234;fabA;b0954;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.645;-4.385;-0.0207
yafP;b0234;folC;b2315;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.540;-4.104;-0.2661
ykgE;b0306;ribD;b0414;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.848;-6.769;-0.6865
ykgE;b0306;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.517;-5.977;-3.1706
ykgE;b0306;ispA;b0421;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.555;-8.465;-1.4610
mfd;b1114;secA;b0098;SPA-tag essential;SPA-tag essential;Functional association with STRING;-10.238;-8.643;-10.9445
mfd;b1114;fabZ;b0180;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.700;-4.747;-3.2622
mfd;b1114;dxs;b0420;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.831;-5.718;-2.2389
mfd;b1114;cydC;b0886;SPA-tag essential;SPA-tag essential;No functional association with STRING;-9.004;-7.583;-10.9891
mfd;b1114;kdsB;b0918;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.114;-5.961;-10.9891
mfd;b1114;pth;b1204;SPA-tag essential;SPA-tag essential;Functional association with STRING;-6.489;-5.425;-3.6730
mfd;b1114;prsA;b1207;SPA-tag essential;SPA-tag essential;Functional association with STRING;-5.619;-4.678;-1.3099
mfd;b1114;prfA;b1211;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.209;-6.901;-3.5570
mfd;b1114;kdsA;b1215;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.920;-5.795;-10.9891
mfd;b1114;topA;b1274;SPA-tag essential;SPA-tag essential;No functional association with STRING;-9.824;-8.288;-4.1955
ycjN;b1310;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.781;-4.909;-1.7046
ycjN;b1310;ftsA;b0094;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.478;-4.502;-0.7828
ycjN;b1310;map;b0168;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.673;-6.110;-1.9094
ycjN;b1310;ribD;b0414;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.370;-5.702;-1.4040
ycjN;b1310;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.556;-4.606;-7.9625
ycjN;b1310;ispA;b0421;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.395;-7.081;-2.9644
